Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"MLS #MC8459278 in Silver Spring, MD 20904"	None	9/17/2014	None	None	3	3	0	2.5	None	"Fairfax Realty, Inc."	None	None	None	None	None	1	1	1	None	2284	7	Joe Sugden	21780	8459278	None	20904	188	None	1	None	None	1959	429900
"Arcadia Plan, New Home Plan by Ryland Homes"	None	4/7/2014	None	None	3	None	None	None	None	None	Ryland Homes	None	None	None	2	None	None	None	None	1908	4	None	None	0	None	20906	225	1	None	2	None	None	429990
"9607 Hastings Dr, Silver Spring, MD 20901"	None	10/2/2014	None	5	6	3	3	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	1	1	1	1	None	1516	0.291666667	RHONDA MORTENSEN	6882	8471590	None	20901	284	None	1	1	Colonial	1940	429995
"15100 Whitegate Rd, Silver Spring, MD 20905"	None	8/20/2014	None	None	4	0	4	3.5	None	Lion Realty	None	None	None	None	1	1	1	None	None	2008	14	Sandy &amp; Jay	15681.6	8436493	None	20905	214	None	1	1	Colonial	1974	430000
"2901 S Leisure World Blvd Unit 301, Silver Spring, MD 20906"	1	8/6/2014	15	5	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	Creekside At Leisure World	656	1	1	1	1	None	1545	0.291666667	Andrea Essex	None	8424568	None	20906	280	None	2	1	Contemporary	2006	432000
"1113 Dunoon Rd, Silver Spring, MD 20903"	None	7/22/2014	None	13	5	1	4	3.5	None	RE/MAX PROS-GERMANTOWN	None	None	None	None	None	1	1	None	None	2672	21	"Barry Murrin, Abr,Cdpe,Crs,Gri"	9017	8411989	None	20903	163	None	1	None	None	1960	434900
"6 Woodmoor Dr, Silver Spring, MD 20901"	None	9/4/2014	None	10	3	3	0	None	None	RE/MAX Excellence Realty	None	None	None	None	None	1	1	None	None	1280	0.75	JUDY HANRAHAN	9104	8448287	None	20901	340	None	1	1	None	1949	434900
"13121 Serpentine Way, Silver Spring, MD 20904"	None	4/28/2014	None	None	4	0	4	2.5	None	"Fairfax Realty, Inc."	None	None	None	None	2	1	1	None	200	2016	3	Gospodin Gospodinov	11325.6	8331390	None	20904	216	None	1	1	Colonial	1980	434950
"807 Norwood Rd, Silver Spring, MD 20905"	None	8/27/2014	None	7	3	1	2	2.5	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	2	1	1	1	None	1656	7	PHYLLIS NEWMAN	87120	8441981	None	20905	263	None	1	1	Colonial	1965	435000
"14709 Claude Ln, Silver Spring, MD 20905"	None	2/5/2014	None	4	4	3	1	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	4	1	1	None	None	2108	7	RHONDA MORTENSEN	71438.4	8266544	1	20905	206	None	1	1	None	1957	435000
"104 Whitmoor Ter, Silver Spring, MD 20901"	None	9/10/2014	None	5	4	3	1	None	None	"W.C. &amp; A.N. Miller REALTORS, A Long &amp; Foster Co"	None	None	None	None	None	1	1	1	None	2196	1	Tamara Kucik	5358	8453288	None	20901	198	None	1	1	None	1950	435000
"12301 Palermo Dr, Silver Spring, MD 20904"	None	6/19/2014	None	4	4	0	4	3.5	None	Execuhome Realty	None	None	None	None	1	1	1	None	None	2115	30	Hieu Truong	11325.6	8381700	None	20904	206	None	1	1	Colonial	1966	435000
"12501 Buckley Dr, Silver Spring, MD 20904"	None	8/2/2014	None	14	5	None	None	None	None	"Housepad.com, Realtors"	None	None	None	None	2	1	1	None	None	1916	60	Flat Fee MLS Department	13503.6	8421711	None	20904	227	None	1	1	None	1956	435000
"13620 Stargazer Ln, Silver Spring, MD 20906"	None	7/18/2014	2	None	3	0	3	3	None	Premiere Realty Llc	None	None	None	None	2	1	1	None	94	2250	3	David Hu	2439	8407998	1	20906	193	None	2	1	Colonial	2012	435000
